================================================================================
SECTOR SPLIT SUMMARY
================================================================================

Total records in dataset: 2,456,350
Number of sectors: 1135

Summary by sector:

                                       sector_name  num_companies  percentage
                                           unknown        1114821       45.39
                                        immobilier         191033        7.78
                                    administration          95411        3.88
           marchands_de_biens_agences_immobilieres          79691        3.24
                             distribution_commerce          54271        2.21
                                           holding          53748        2.19
                                      informatique          30165        1.23
                           service_aux_entreprises          29438        1.20
                                       agriculture          29287        1.19
                                           finance          26089        1.06
                          distribution_specialisee          25513        1.04
                              immobilier_logements          24282        0.99
                                          batiment          21914        0.89
                                       association          20919        0.85
                                        ingenierie          20165        0.82
                                   agroalimentaire          18784        0.76
                                              etat          18395        0.75
                                           conseil          17518        0.71
                                             sante          17461        0.71
                  tourisme_hotellerie_restauration          15584        0.63
                                      enseignement          14273        0.58
                            information_technology          14258        0.58
                                         transport          14190        0.58
                                           elevage          13378        0.54
                                       second_uvre          12802        0.52
                                             metal          12583        0.51
                     ingenierie_et_bureaux_detudes          12563        0.51
                                      restauration          11724        0.48
               machines_et_equipements_industriels          11528        0.47
                                 cultures_diverses          10422        0.42
                  conception_et_vente_de_logiciels           9945        0.40
                         industrie_agroalimentaire           9000        0.37
                          energie_non_renouvelable           8900        0.36
                                                rd           8601        0.35
                                   travaux_publics           8576        0.35
                                          esn_ssii           7947        0.32
                                           loisirs           7911        0.32
                                     communication           7493        0.31
                                  compta_juridique           7296        0.30
   fabrication_machines_et_equipements_industriels           7024        0.29
                                         gros_uvre           6947        0.28
                                        hotellerie           6764        0.28
                            capital_investissement           6754        0.27
                                         vehicules           6534        0.27
                                            chimie           6277        0.26
                                        imprimerie           6106        0.25
                                               tic           5946        0.24
                   services_divers_aux_entreprises           5874        0.24
                         transport_routier_camions           5859        0.24
                    fabrication_darticles_en_metal           5640        0.23
                                             sport           5437        0.22
                                       depollution           5396        0.22
                            services_a_la_personne           5328        0.22
                                         formation           5286        0.22
                                      textile_mode           5259        0.21
                           aeronautique_et_spatial           5244        0.21
                           architecture_paysagisme           5237        0.21
                 commerce_de_vehicules_concessions           5009        0.20
                      infrastructures_de_transport           4764        0.19
                      pharmacie_medical_cosmetique           4635        0.19
              services_et_maintenance_informatique           4530        0.18
                              energie_renouvelable           4512        0.18
                                           culture           4496        0.18
                                        e_commerce           4367        0.18
                                            social           4163        0.17
                                      electronique           3977        0.16
                                         materiaux           3922        0.16
             commerce_de_produits_agroalimentaires           3785        0.15
                      gestion_de_biens_immobiliers           3720        0.15
                                        automotive           3635        0.15
                                  travail_du_metal           3582        0.15
             commerce_textile_et_accessoires_modes           3567        0.15
                                      image_et_son           3426        0.14
                        institutions_cci_syndicats           3359        0.14
                                            cinema           3310        0.13
            maintenance_de_machines_et_equipements           3265        0.13
                                        plasturgie           3263        0.13
                        professionnels_de_la_sante           3085        0.13
                                            emploi           3075        0.13
                                          telecoms           2971        0.12
                         grossiste_agroalimentaire           2883        0.12
                    reparation_dequipements_divers           2850        0.12
                                      construction           2792        0.11
                    commerce_telecom_et_telephonie           2647        0.11
                                 location_materiel           2607        0.11
                               grande_distribution           2578        0.10
                          agences_de_communication           2556        0.10
                                         publicite           2537        0.10
                                               eau           2470        0.10
                                              bois           2425        0.10
                              nettoyage_industriel           2417        0.10
                        recherche_et_developpement           2310        0.09
                                            banque           2254        0.09
         divertissements_casinos_parc_dattractions           2223        0.09
                                         papeterie           2153        0.09
                                          courtage           2077        0.08
                           chantier_naval_nautisme           2063        0.08
                                       ferroviaire           2059        0.08
            ameublement_et_equipement_de_la_maison           2027        0.08
                                           edition           1977        0.08
                                       viticulture           1961        0.08
           equipements_techniques_pour_le_batiment           1898        0.08
                             hopitaux_et_cliniques           1826        0.07
                               vetements_et_tissus           1818        0.07
                                          tourisme           1805        0.07
                                  legal_accounting           1804        0.07
                                       real_estate           1792        0.07
                  0000z_en_instance_de_chiffrement           1724        0.07
                                       hydraulique           1721        0.07
                                       electricite           1672        0.07
                               objets_en_plastique           1648        0.07
                     services_a_la_personne_divers           1628        0.07
                            travaux_administratifs           1603        0.07
               commerce_alimentaire_produits_frais           1596        0.06
                            etablissements_publics           1551        0.06
                                         recyclage           1543        0.06
                                        logistique           1489        0.06
                                   biotechnologies           1399        0.06
                                   aide_a_domicile           1389        0.06
                                      evenementiel           1377        0.06
                                 essais_techniques           1366        0.06
                                             ehpad           1335        0.05
                                  transport_aerien           1330        0.05
                             immobilier_industriel           1289        0.05
                                      installation           1265        0.05
         commerce_specialise_meubles_et_decoration           1239        0.05
                   fabrication_de_materiel_medical           1207        0.05
                                          internet           1206        0.05
                        equipements_pour_vehicules           1203        0.05
                             assurance_et_mutuelle           1193        0.05
                                             verre           1163        0.05
                                     boissons_agro           1144        0.05
                                     food_industry           1115        0.05
                                           general           1091        0.04
                              transport_bus_et_car           1090        0.04
                                        publishing           1077        0.04
                         securite_telesurveillance           1074        0.04
                         materiaux_de_construction           1064        0.04
                               petite_distribution            984        0.04
                           equipements_industriels            968        0.04
                                            medias            968        0.04
                                            rental            963        0.04
                                           interim            963        0.04
         commerce_specialise_pharmacie_paramedical            962        0.04
                                  mobilier_literie            956        0.04
                                 industrie_du_bois            954        0.04
                                operateurs_telecom            920        0.04
                           depollution_traitements            891        0.04
                        industrie_papier_et_carton            857        0.03
                                    chantier_naval            857        0.03
                                  chimie_organique            853        0.03
                                        esthetique            847        0.03
                                         education            820        0.03
                industrie_divers_autres_industries            766        0.03
                                      associations            761        0.03
                                                rh            758        0.03
                                  industrie_divers            750        0.03
                                            retail            740        0.03
                                           musique            730        0.03
                           canalisation_et_reseaux            684        0.03
                    commerce_de_produits_chimiques            681        0.03
                             public_administration            673        0.03
                                        menuiserie            659        0.03
                                          coiffure            632        0.03
                                              vins            609        0.02
               transport_voitures_taxis_ambulances            600        0.02
                        pharmaceutique_medicaments            579        0.02
                            carrieres_et_gravieres            537        0.02
                                 sylviculture_bois            534        0.02
                                      aeronautique            514        0.02
                      emballage_et_conditionnement            514        0.02
                      autres_hebergements_de_sante            499        0.02
                             cosmetique_et_parfums            497        0.02
                               emballage_plastique            494        0.02
                                             peche            488        0.02
         commerce_specialise_cosmetique_parfumerie            478        0.02
                                               gaz            477        0.02
                               messagerie_courrier            472        0.02
                              equipements_sportifs            447        0.02
                                            photos            445        0.02
                                              luxe            443        0.02
                             collectivites_locales            428        0.02
                             chimie_de_specialites            424        0.02
             chimie_produits_dentretien_et_parfums            421        0.02
                                  emballage_papier            414        0.02
                                           defense            397        0.02
                              jeux_videos_et_video            396        0.02
                                industrie_chimique            386        0.02
                                industrie_du_verre            375        0.02
               commerce_specialise_biens_culturels            364        0.01
                                        spiritueux            362        0.01
                          location_de_biens_divers            362        0.01
                                  vente_a_domicile            361        0.01
                                services_marchands            359        0.01
                                transport_maritime            356        0.01
                                      maroquinerie            350        0.01
                                    centre_dappels            349        0.01
                                       hospitality            344        0.01
                                        metallurgy            337        0.01
                                    assainissement            329        0.01
                                         aeroports            321        0.01
                          construction_dautoroutes            316        0.01
             exploitation_de_reseaux_de_transports            298        0.01
              demolition_gros_oeuvre_et_2nd_oeuvre            290        0.01
                                              auto            289        0.01
                             immobilier_de_bureaux            283        0.01
                               repair_installation            282        0.01
                                   chimie_minerale            272        0.01
                  distribution_et_gestion_denergie            271        0.01
                             amenagement_interieur            269        0.01
                                     manufacturing            262        0.01
                                       electronics            260        0.01
                                arts_entertainment            253        0.01
  fabrication_de_machines_et_equipements_agricoles            237        0.01
                                            energy            235        0.01
                                           petrole            230        0.01
                                        wood_paper            226        0.01
                                           optique            223        0.01
                                tissus_industriels            219        0.01
                 fabrication_dequipements_sportifs            201        0.01
                    organisations_associatives_nca            199        0.01
                                             ports            199        0.01
                                           spatial            194        0.01
                                         ceramique            193        0.01
                     economie_sociale_et_solidaire            189        0.01
                                   rubber_plastics            187        0.01
               solaire_photovoltaique_et_thermique            187        0.01
                            services_non_marchands            180        0.01
                                        multimedia            174        0.01
                               electronique_divers            173        0.01
                                         chaussure            172        0.01
                                        geothermie            170        0.01
                                           medical            155        0.01
                                         furniture            142        0.01
                                 industrie_diverse            142        0.01
                  fabrication_dequipements_telecom            130        0.01
                                 bijoux_horlogerie            118        0.00
                biomasse_bois_biogas_biocarburants            118        0.00
                                          textiles            115        0.00
                                     cybersecurite            108        0.00
                          fabrication_dordinateurs            101        0.00
                                            eolien             97        0.00
                                  commerce_du_bois             95        0.00
                                               sci             93        0.00
                                    electromenager             92        0.00
                                         chemicals             90        0.00
               equipements_divers_pour_le_batiment             90        0.00
                              controles_et_mesures             90        0.00
                              ferroutage_railroute             88        0.00
                              applications_mobiles             88        0.00
                                             train             84        0.00
                              reseau_de_franchises             84        0.00
                         accompagnement_de_projets             76        0.00
                                              velo             75        0.00
                location_dautres_biens_immobiliers             73        0.00
     commerce_specialise_materiaux_de_construction             72        0.00
                            tunnel_et_voie_ferrees             71        0.00
                                        extraction             70        0.00
                                         machinery             69        0.00
                                  objets_connectes             67        0.00
               securite_puces_paiement_tracabilite             67        0.00
                                             ponts             62        0.00
                                              moto             60        0.00
                     creches_et_garderies_denfants             57        0.00
                                         nucleaire             53        0.00
                                        healthcare             53        0.00
                                            voirie             52        0.00
                                          armement             50        0.00
                              immobilier_commerces             49        0.00
                                        datacenter             49        0.00
              paramedical_complements_alimentaires             48        0.00
                           activite_non_identifiee             47        0.00
                             immobilier_amenageurs             42        0.00
                              installateur_telecom             41        0.00
                               materiel_electrique             40        0.00
                                     ouvrages_dart             40        0.00
                             vehicules_electriques             37        0.00
                     autres_formes_daction_sociale             37        0.00
                                               son             36        0.00
                         commerce_specialise_sport             36        0.00
                                   mobilier_urbain             36        0.00
                                         robotique             35        0.00
                           deco_textile_luminaires             35        0.00
              commerce_specialise_bricolage_jardin             35        0.00
                     location_de_biens_immobiliers             32        0.00
           conseil_pour_les_affaires_et_la_gestion             31        0.00
                       restauration_de_type_rapide             31        0.00
                                            mining             31        0.00
                   entreprise_generale_du_batiment             30        0.00
                                          materiel             28        0.00
                                 construction_bois             26        0.00
                                            drones             26        0.00
                             fonds_dinvestissement             26        0.00
                              agences_immobilieres             26        0.00
                       commerce_darticles_de_metal             25        0.00
                                         isolation             25        0.00
                       accessoires_mode_et_textile             25        0.00
                     commerce_alimentaire_epicerie             22        0.00
                       administration_dentreprises             22        0.00
                              travail_du_plastique             21        0.00
                                          nautisme             21        0.00
                                           piscine             20        0.00
                          equipements_audiovisuels             20        0.00
                                    economie_bleue             20        0.00
                  services_annexes_a_la_production             20        0.00
                              autres_enseignements             19        0.00
                             location_de_logements             19        0.00
                     autre_hebergement_touristique             19        0.00
                              materiaux_composites             19        0.00
                                     impression_3d             18        0.00
                                             audit             17        0.00
                  administration_publique_generale             17        0.00
                               construction_routes             15        0.00
                   gestion_de_salles_de_spectacles             15        0.00
                   services_annexes_aux_spectacles             15        0.00
                                            camion             14        0.00
                        autres_services_personnels             14        0.00
 location_et_location_bail_de_camions_services_mar             13        0.00
                                   emballage_verre             13        0.00
                  gestion_dinstallations_sportives             13        0.00
  entretien_et_reparation_de_vehicules_automobiles             13        0.00
                metro_construction_et_exploitation             13        0.00
                       installation_deau_et_de_gaz             12        0.00
                                          peinture             12        0.00
              reparation_et_entretien_de_vehicules             11        0.00
                                 elevage_de_bovins             11        0.00
                            renovation_energetique             11        0.00
                                 materiel_incendie             11        0.00
                                               bus             11        0.00
                                             gares             11        0.00
                                 agences_de_voyage             10        0.00
             aide_par_le_travail_ateliers_proteges             10        0.00
                       accueil_des_personnes_agees              9        0.00
                          alarme_videosurveillance              8        0.00
                                  arts_de_la_table              8        0.00
                         organisations_religieuses              8        0.00
                      etudes_de_marche_et_sondages              8        0.00
              commerce_specialise_bazar_destockage              8        0.00
                                         animation              8        0.00
                                   emballage_metal              7        0.00
                             syndicats_de_salaries              7        0.00
                         secretariat_et_traduction              7        0.00
            administration_dimmeubles_residentiels              7        0.00
           organisations_patronales_et_consulaires              7        0.00
                                   soins_de_beaute              7        0.00
                                         domotique              6        0.00
                                compagnie_aerienne              6        0.00
  location_dautres_biens_personnels_et_domestiques              6        0.00
                                   linge_de_maison              5        0.00
            promotion_immobiliere_dinfrastructures              5        0.00
                   soins_hors_dun_cadre_reglemente              5        0.00
                 accueil_des_enfants_en_difficulte              5        0.00
                    organisations_professionnelles              5        0.00
                           societe_dinvestissement              5        0.00
                     culture_de_legumes_maraichage              4        0.00
                                   gestion_dactifs              4        0.00
                   revetement_des_sols_et_des_murs              4        0.00
                    accueil_des_adultes_handicapes              4        0.00
     reparation_de_chaussures_et_darticles_en_cuir              4        0.00
                  organisation_de_foires_et_salons              4        0.00
                            enseignement_superieur              4        0.00
                    gestion_du_patrimoine_culturel              4        0.00
                             enseignement_primaire              4        0.00
  reparation_darticles_personnels_et_domestiques_n              4        0.00
                                       camping_car              4        0.00
   representation_diplomatique_etrangere_en_france              4        0.00
                          societe_dinvestissements              4        0.00
recherche_developpement_en_sciences_physiques_et_n              4        0.00
                                           charbon              3        0.00
                  menuiserie_metallique_serrurerie              3        0.00
                              bals_et_discotheques              3        0.00
                           enseigne_de_supermarche              3        0.00
                                      cafes_tabacs              3        0.00
                                  operateur_reseau              3        0.00
                           autre_imprimerie_labeur              3        0.00
                           horticulture_pepinieres              3        0.00
                                           tramway              3        0.00
        principal_prestataire_de_services_de_lotan              3        0.00
                                         platrerie              3        0.00
                             promotion_immobiliere              3        0.00
            menuiserie_bois_et_matieres_plastiques              3        0.00
                             conseil_en_immobilier              3        0.00
                                 agences_de_presse              3        0.00
                                    pharmaceutique              3        0.00
                                        ascenseurs              3        0.00
                        laboratoire_pharmaceutique              3        0.00
                  concession_et_commerce_vehicules              3        0.00
                                  cabinet_davocats              3        0.00
                                        patisserie              3        0.00
